,datetime,title,link
232,2024-07-04T22:39:27-03:00,Marcelo Sant'Ana terá como missão achar clube para quatro atletas,/noticias/marcelo-santana-tera-como-missao-achar-clube-para-quatro-atletas-395522.html
233,2024-07-04T22:19:05-03:00,Vasco ainda não decidiu se efetivará Rafael Paiva,/noticias/vasco-ainda-nao-decidiu-se-efetivara-rafael-paiva-395521.html
234,2024-07-04T21:36:48-03:00,Meia Juan Quintero é oferecido ao Vasco,/noticias/meia-juan-quintero-e-oferecido-ao-vasco-395518.html
235,2024-07-04T21:14:04-03:00,FJV faz publicação exigindo saída do preparador físico Daniel Félix,/noticias/fjv-faz-publicacao-exigindo-saida-do-preparador-fisico-daniel-felix-395516.html
236,2024-07-04T17:51:16-03:00,Estrella pode passar por cirurgia no menisco,/noticias/estrella-pode-passar-por-cirurgia-no-menisco-395504.html
237,2024-07-04T14:35:52-03:00,Marcelo Sant'Ana participará da escolha do novo treinador,/noticias/marcelo-santana-participara-da-escolha-do-novo-treinador-395485.html
238,2024-07-04T09:18:28-03:00,Notas dos jogadores do Vasco contra o Fortaleza,/noticias/notas-dos-jogadores-do-vasco-contra-o-fortaleza-395465.html
239,2024-07-03T22:45:22-03:00,Veja números de Rafael Paiva no comando do Vasco,/noticias/veja-numeros-de-rafael-paiva-no-comando-do-vasco-395444.html
240,2024-07-03T22:26:52-03:00,Saiba quantos pontos o Vasco conquistou sob o comando de Rafael Paiva,/noticias/saiba-quantos-pontos-o-vasco-conquistou-sob-o-comando-de-rafael-paiva-395441.html
241,2024-07-03T22:18:16-03:00,Payet deixa São Januário caminhando normalmente,/noticias/payet-deixa-sao-januario-caminhando-normalmente-395437.html
242,2024-07-03T22:16:55-03:00,Vasco terá seis desfalques para jogo contra o Internacional,/noticias/vasco-tera-seis-desfalques-para-jogo-contra-o-internacional-395436.html
243,2024-07-03T21:57:57-03:00,Vasco vence o Fortaleza por 2 a 0 em São Januário,/noticias/vasco-vence-o-fortaleza-por-2-a-0-em-sao-januario-395431.html
244,2024-07-03T20:24:35-03:00,Payet sente coxa direita e é substituído no início do primeiro tempo,/noticias/payet-sente-coxa-direita-e-e-substituido-no-inicio-do-primeiro-tempo-395420.html
245,2024-07-03T19:52:33-03:00,Torcedor aparece vestido de astronauta em São Januário,/noticias/torcedor-aparece-vestido-de-astronauta-em-sao-januario-395418.html
246,2024-07-03T15:25:11-03:00,Mateus Carvalho deve ser titular contra o Fortaleza,/noticias/mateus-carvalho-deve-ser-titular-contra-o-fortaleza-395374.html
247,2024-07-03T13:26:12-03:00,Ramón Díaz aceita proposta do Corinthians,/noticias/ramon-diaz-aceita-proposta-do-corinthians-395365.html
248,2024-07-03T12:50:39-03:00,Vasco realizou o pagamento do RCE que estava atrasado,/noticias/vasco-realizou-o-pagamento-do-rce-que-estava-atrasado-395364.html
249,2024-07-03T11:37:28-03:00,Roberta Barroso sobre Coutinho: 'Ainda não assinou e não assina hoje'; vídeo,/noticias/roberta-barroso-sobre-coutinho-ainda-nao-assinou-e-nao-assina-hoje-video-395360.html
250,2024-07-03T10:54:42-03:00,Juiz dá prazo para Vasco depositar parcela do RCE,/noticias/juiz-da-prazo-para-vasco-depositar-parcela-do-rce-395356.html
251,2024-07-02T19:57:37-03:00,"Há 64 anos, nascia Dudu",/noticias/ha-64-anos-nascia-dudu-395322.html
252,2024-07-02T17:19:43-03:00,Galdames estaria próximo de se transferir para o Universidade Catolica,/noticias/galdames-estaria-proximo-de-se-transferir-para-o-universidade-catolica-395307.html
253,2024-07-02T15:33:13-03:00,Provável escalação do Vasco para enfrentar o Fortaleza,/noticias/provavel-escalacao-do-vasco-para-enfrentar-o-fortaleza-5-395299.html
254,2024-07-02T14:35:31-03:00,Os técnicos que estão livres no mercado,/noticias/os-tecnicos-que-estao-livres-no-mercado-395296.html
255,2024-07-02T14:13:10-03:00,Vasco está entre os times que menos correm no Brasileiro,/noticias/vasco-esta-entre-os-times-que-menos-correm-no-brasileiro-395293.html
256,2024-07-02T13:54:13-03:00,"Com clube de Série B na frente, Vasco fica em 12° na lista de 'mais sócios'",/noticias/com-clube-de-serie-b-na-frente-vasco-fica-em-12deg-na-lista-de-mais-socios-395292.html
257,2024-07-02T13:40:32-03:00,Objetivo do Vasco com as contratações na janela é uma vaga na Sul-Americana,/noticias/objetivo-do-vasco-com-as-contratacoes-na-janela-e-uma-vaga-na-sul-americana-395290.html
258,2024-07-02T13:10:20-03:00,"Ex-Vasco, Ramón Díaz é cotado para assumir o Corinthians",/noticias/ex-vasco-ramon-diaz-e-cotado-para-assumir-o-corinthians-395288.html
